@relation Advertisment

@attribute width numeric
@attribute height numeric
@attribute iframe string
@attribute google string
@attribute ad string
@attribute ads string
@attribute aswift string
@attribute insert string
@attribute doubleclick string
@attribute content string
@attribute uploads string
@attribute cdn string
@attribute news string
@attribute image string
@attribute targetvalue {AD,NonAD}
@attribute frameOrimage {iframe,image}

@data
31,88,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
90,728,?,?,?,?,?,?,?,?,?,?,?,?,AD,iframe
90,728,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
31,88,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
250,200,?,?,?,?,?,?,?,?,?,?,?,?,AD,iframe
?,?,?,?,ad,?,?,?,?,?,?,?,?,?,AD,image
250,300,?,?,ad,?,?,?,?,?,?,?,?,?,AD,iframe
250,200,?,?,?,?,?,?,?,?,?,?,?,?,AD,iframe
100,300,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
250,300,?,?,?,?,?,?,?,?,?,?,?,?,AD,iframe
251,300,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
715,1020,iframe,google,ad,ads,?,?,?,?,?,?,news,?,AD,iframe
90,728,?,?,ad,?,?,?,?,?,?,?,?,image,AD,iframe
250,200,?,?,?,?,?,?,?,?,?,?,?,?,AD,iframe
318,418,?,?,ad,?,?,?,?,?,?,?,?,?,AD,iframe
360,300,?,?,ad,?,?,?,?,?,?,?,?,?,AD,image
263,170,?,?,?,?,aswift,?,?,?,?,?,?,?,AD,iframe
280,183,?,?,ad,?,?,?,doubleclick,?,?,?,?,image,AD,image
?,?,?,?,?,?,?,?,?,?,?,?,?,?,AD,image
250,300,iframe,google,ad,ads,?,?,?,?,?,?,news,?,AD,iframe
300,913,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
250,300,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
250,200,?,?,?,?,?,?,?,?,?,?,?,?,AD,iframe
250,300,?,?,ad,?,?,?,doubleclick,?,?,?,?,?,AD,image
400,976,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
60,468,?,?,?,?,aswift,?,?,?,?,?,?,?,AD,iframe
160,970,iframe,google,ad,ads,?,?,?,?,?,?,?,?,AD,iframe
90,728,?,?,?,?,?,?,?,?,?,?,?,image,AD,image
250,200,?,?,?,?,?,?,?,?,?,?,?,?,AD,iframe
